MktCoupons,Quarter,Origin,OriginWac,Dest,DestWac,Miles,ContiguousUSA,NumTicketsOrdered,AirlineCompany,PricePerTicket
1,3,DAL,74,OMA,65,585.0,2,3.0,WN,234.0
1,1,CLT,36,BWI,35,361.0,2,1.0,AA,73.0
1,2,DEN,82,STL,64,770.0,2,1.0,UA,150.5
1,3,LGA,22,DEN,82,1620.0,2,3.0,DL,216.6
1,2,CHS,37,JFK,22,636.0,2,1.0,B6,135.5
1,1,PHX,81,OGG,2,2845.0,1,1.0,AA,649.0
1,3,SEA,93,PDX,92,129.0,2,1.0,AS,72.5
1,4,SJU,3,FLL,33,1046.0,1,4.0,B6,166.5
1,1,MDW,41,ONT,91,1706.0,2,1.0,WN,69.5
1,1,DCA,38,IAH,74,1208.0,2,4.0,UA,139.0
1,4,CVG,52,ATL,34,373.0,2,1.0,DL,334.5
1,4,ATL,34,ORF,38,516.0,2,1.0,DL,221.5
1,3,MSP,63,DFW,74,852.0,2,2.0,AA,188.5
1,3,PHL,23,BOS,13,280.0,2,3.0,AA,166.0
1,3,DCA,38,HOU,74,1218.0,2,2.0,WN,175.5
1,4,DTW,43,DCA,38,405.0,2,1.0,DL,358.0
1,1,SFO,91,DFW,74,1464.0,2,3.0,AA,124.0
1,1,LAX,91,DEN,82,862.0,2,5.0,WN,112.0
1,2,LAX,91,MCI,64,1363.0,2,4.0,NK,58.0
1,1,ATL,34,LGA,22,762.0,2,3.0,WN,278.5
1,4,MCO,33,ATL,34,404.0,2,8.0,DL,180.0
1,2,SMF,91,STL,64,1679.0,2,1.0,WN,474.5
1,4,MSP,63,JFK,22,1029.0,2,1.0,DL,203.0
1,1,LAX,91,MCI,64,1363.0,2,1.0,WN,239.37
1,2,IAD,38,LAX,91,2288.0,2,1.0,UA,852.0
1,3,CLT,36,LGA,22,544.0,2,1.0,AA,233.5
1,4,PHL,23,MSP,63,980.0,2,2.0,DL,417.0
1,1,DFW,74,GUC,82,678.0,2,1.0,AA,199.5
1,2,TPA,33,MSY,72,488.0,2,1.0,WN,103.5
1,2,DFW,74,PBI,33,1102.0,2,8.0,AA,191.0
1,4,FLL,33,MEM,54,851.0,2,3.0,G4,90.5
1,3,SLC,87,SJC,91,584.0,2,1.0,DL,120.5
1,3,PHX,81,MCO,33,1849.0,2,1.0,AA,384.0
1,4,LAS,85,ONT,91,197.0,2,1.0,WN,228.0
2,1,MCO,33,DSM,61,1141.0,2,1.0,WN,179.0
1,1,ATL,34,SJU,3,1547.0,1,1.0,DL,50.5
1,3,DEN,82,JFK,22,1626.0,2,1.0,DL,440.0
1,4,HOU,74,ATL,34,696.0,2,1.0,DL,160.5
1,3,MIA,33,SFO,91,2585.0,2,2.0,UA,156.5
1,2,JFK,22,PHX,81,2153.0,2,1.0,AA,638.18
1,2,SFO,91,LAX,91,337.0,2,1.0,UA,144.0
2,1,BDL,11,LAS,85,2297.0,2,1.0,AA,188.22
1,2,TPA,33,IND,42,837.0,2,1.0,WN,372.0
1,3,PHL,23,LAS,85,2176.0,2,1.0,NK,113.13
1,4,ORD,41,PWM,12,900.0,2,1.0,UA,224.5
1,3,JAX,33,ATL,34,270.0,2,1.0,DL,377.5
1,4,ORD,41,SAN,91,1723.0,2,1.0,AA,512.74
1,2,TPA,33,LAS,85,1984.0,2,1.0,NK,69.95
1,1,LAX,91,ORD,41,1744.0,2,3.0,UA,388.0
1,1,MSY,72,DCA,38,969.0,2,1.0,AA,168.0
1,2,IAH,74,PDX,92,1825.0,2,2.0,UA,287.5
1,4,DTW,43,MCI,64,629.0,2,2.0,DL,231.0
1,4,CLE,44,MSP,63,622.0,2,1.0,DL,367.0
1,2,MCO,33,BWI,35,787.0,2,1.0,B6,94.5
1,2,LGA,22,ATL,34,762.0,2,1.0,DL,227.08
1,3,FSD,67,SFB,33,1334.0,2,1.0,G4,53.5
1,3,BOS,13,FLL,33,1237.0,2,1.0,NK,65.5
1,4,BWI,35,STL,64,738.0,2,1.0,WN,331.0
1,1,DEN,82,DTW,43,1123.0,2,2.0,DL,178.0
1,4,HNL,2,JFK,22,4983.0,1,1.0,HA,439.5
1,1,PHL,23,AUS,74,1430.0,2,3.0,AA,354.0
1,4,RSW,33,EWR,21,1068.0,2,5.0,B6,154.0
1,3,BUR,91,SFO,91,326.0,2,1.0,UA,136.0
1,2,IAD,38,LAX,91,2288.0,2,10.0,UA,161.0
1,1,TUS,81,DFW,74,813.0,2,2.0,AA,410.0
1,3,EWR,21,HNL,2,4962.0,1,2.0,UA,342.5
